id,brand,model,mileage,year,link,body_status,price
2677,پراید,صندوق دار,169000,2008,https://bama.ir/car/detail-7iqyiim-pride-sedan-1387,5,60000000
2678,نیسان,پیکاپ دو کابین ,200000,2008,https://bama.ir/car/detail-6iwpwz9f-nissan-pickup-ir-2cab-1387,11,375000000
2679,هیوندای,وراکروز (ix55),100000,2013,https://bama.ir/car/detail-11v8rb8o-hyundai-veracruz-ix55-2013,1,1650000000
2680,کیا,اسپورتیج,83000,2016,https://bama.ir/car/detail-wxfq6rxy-kia-sportage-basic-2016,1,1200000000
2681,رنو,تندر90 ,61000,2017,https://bama.ir/car/detail-ejnd5qq9-renault-tondar90-plus-at-1396,1,325000000
2682,تویوتا,کرولا,147000,2009,https://bama.ir/car/detail-phei6ggc-toyota-corolla-gli-2009,2,560000000
2683,پژو,206 ,0,2020,https://bama.ir/car/detail-3fvvbnee-peugeot-206-ir-type2-1399,1,199000000
2684,پژو,پارس,6300,2020,https://bama.ir/car/detail-jufh5red-peugeot-pars-lx-1399,1,245000000
2685,پژو,207,0,2021,https://bama.ir/car/detail-dwie1g3m-peugeot-207-mt-1400,1,306000000
2686,مزدا,3 جدید صندوق دار (مونتاژ),0,2019,https://bama.ir/car/detail-4pwxbotz-mazda-3-sedan-2.0l-type4-1398,1,880000000
2687,پژو,206 ,94000,2005,https://bama.ir/car/detail-hn575445-peugeot-206-ir-type2-1384,4,85000000
2688,پژو,206 ,0,2021,https://bama.ir/car/detail-swsp7nys-peugeot-206-ir-type2-1400,1,212000000
2690,کیا,سراتو (مونتاژ),48000,2017,https://bama.ir/car/detail-64q8x9pi-kia-cerato-ir-2000-optional-1396,1,605000000
2691,کیا,اپتیما,10000,2015,https://bama.ir/car/detail-1svwebv-kia-optima-basic-2015,1,1200000000
2692,رنو,تالیسمان,68000,2017,https://bama.ir/car/detail-eesktzo-renault-talisman-e3-2017,1,1220000000
2693,نیسان,ماکسیما ,125000,2011,https://bama.ir/car/detail-pifd9tjx-nissan-maxima-ir-at-1390,2,615000000
2694,کیا,اپتیما,120000,2015,https://bama.ir/car/detail-jf3nvvfi-kia-optima-basic-2015,1,1040000000
2695,پژو,405,nan,2003,https://bama.ir/car/detail-5xdkyjnm-peugeot-405-glx-1382,3,55000000
2696,نیسان,پاترول دو در ,92000,1989,https://bama.ir/car/detail-66v1bkea-nissan-patrol-2door-ir-1368,1,230000000
2697,نیسان,ماکسیما ,120000,2011,https://bama.ir/car/detail-44a8z5gn-nissan-maxima-ir-at-1390,1,630000000
2698,پژو,206 ,114000,2008,https://bama.ir/car/detail-2jcsg3ok-peugeot-206-ir-type2-1387,14,105000000
2699,مزدا,3 جدید صندوق دار (مونتاژ),30000,2019,https://bama.ir/car/detail-2stibe12-mazda-3-sedan-2.0l-type4-1398,1,810000000
2700,ام وی ام,X33 S,5000,2020,https://bama.ir/car/detail-d7wnrkh-mvm-x33s-at-sport-1399,1,440000000
2701,رنو,کولیوس,80000,2017,https://bama.ir/car/detail-y4pvig3g-renault-koleos-2017,1,1650000000
2702,نیسان,وانت زامیاد,0,2019,https://bama.ir/car/detail-nuwyyfc-nissan-zamyad-pickup-gas-1398,1,225000000
2703,رنو,ساندرو,55000,2018,https://bama.ir/car/detail-dqtwyy91-renault-sandero-at-1397,1,353000000
2704,مزدا,3 جدید صندوق دار (مونتاژ),195000,2010,https://bama.ir/car/detail-x911mje2-mazda-3-sedan-2.0l-type3-1389,1,515000000
2705,لیفان,620,74000,2012,https://bama.ir/car/detail-aaxjaffu-lifan-620-1.6-1391,2,129000000
2706,کیا,سورنتو,78000,2016,https://bama.ir/car/detail-j8aks5t-kia-sorento-basic-2016,1,1550000000
2707,هیوندای,اکسنت (مونتاژ),19000,2018,https://bama.ir/car/detail-g6knchs8-hyundai-accent-ir-1397,1,605000000
2708,رنو,ساندرو,45000,2016,https://bama.ir/car/detail-gw4en2ga-renault-sandero-at-1395,2,294000000
2709,ام وی ام,315هاچ بک,nan,2014,https://bama.ir/car/detail-vchpx8gj-mvm-315-hatchback-basic-1393,1,140000000
2710,پژو,206 SD,20000,2017,https://bama.ir/car/detail-ko97im6i-peugeot-206sd-v8-1396,1,225000000
2711,پراید,131,220000,2011,https://bama.ir/car/detail-uxgamxtf-pride-131-sl-1390,11,63000000
2712,پژو,206 SD,161000,2008,https://bama.ir/car/detail-38ddq2kz-peugeot-206sd-v20-1387,1,108000000
2713,هیوندای,i20 (مونتاژ),6000,2017,https://bama.ir/car/detail-4jw4y4ow-hyundai-i20-ir-1396,1,670000000
2714,پژو,206 ,nan,2007,https://bama.ir/car/detail-3j1245v-peugeot-206-ir-type6-1386,1,125000000
2715,پژو,206 ,12000,2019,https://bama.ir/car/detail-vfs9rp-peugeot-206-ir-type2-1398,1,179000000
2716,رنو,ساندرو,34500,2018,https://bama.ir/car/detail-kb2be3e-renault-sandero-at-1397,1,368000000
2717,هوندا,سیویک,155000,2013,https://bama.ir/car/detail-g4c68a8d-honda-civic-2013,1,670000000
2718,نیسان,پیکاپ دو کابین ,172000,2009,https://bama.ir/car/detail-9m57bud-nissan-pickup-ir-2cab-1388,1,500000000
2719,پژو,206 ,0,2020,https://bama.ir/car/detail-c6h45gqv-peugeot-206-ir-type2-1399,1,202000000
2720,رنو,5 (مونتاژ),160000,1981,https://bama.ir/car/detail-9jd94ie-renault-5-ir-1360,4,13000000
2721,کیا,اسپورتیج,150000,2012,https://bama.ir/car/detail-uaqh68a-kia-sportage-basic-2012,3,760000000
2722,پیکان,سدان,276000,1999,https://bama.ir/car/detail-bhxi37we-peykan-sedan-gas-1378,14,20000000
2723,جک,S3,0,2020,https://bama.ir/car/detail-bxh56zaz-jac-s3-at-1399,1,476000000
